TIME - 14:49:33.685 | INFO  | utility.ExcelUtility :- Excel Workbook Opened.
TIME - 14:49:33.723 | INFO  | utility.ExcelUtility :- File Path of excel - C:\Users\The Unknown Guy\WebAutomationFramework\WebApplicationTestingFramework\testdata\\ExcelTestData.xlsx
TIME - 14:49:33.724 | INFO  | utility.ExcelUtility :- Excel Sheet name - Sheet1
TIME - 14:49:33.758 | INFO  | testSets.TS_LoginTest :- Inside the SetUp()/@BeforeMethod method
TIME - 14:49:33.759 | INFO  | base.BaseClass :- Data read from the projectConfiguration.properties file.
TIME - 14:49:42.728 | INFO  | base.BaseClass :- Chrome Browser is opened.
TIME - 14:49:43.632 | INFO  | testSets.TS_LoginTest :- Inside the @Test method
TIME - 14:49:45.658 | INFO  | base.BaseClass :- Driver navigated to the URL -> https://www.saucedemo.com/
TIME - 14:49:48.055 | INFO  | utility.ReusableFunctions :- Applying some Wait on the WebDriver. Wait = 2 seconds.
TIME - 14:49:48.195 | INFO  | utility.ReusableFunctions :- WaitUntilElementFound - 10 seconds wait period, Element found on the webpage
TIME - 14:49:48.321 | INFO  | utility.ReusableFunctions :- Input value - standard_user was provided to the element.
TIME - 14:49:48.434 | INFO  | utility.ReusableFunctions :- Input value - secret_sauce was provided to the element.
TIME - 14:49:48.713 | INFO  | utility.ReusableFunctions :- Clicked operation was performed on the element.
TIME - 14:49:52.716 | INFO  | utility.ReusableFunctions :- Applying some Wait on the WebDriver. Wait = 4 seconds.
TIME - 14:49:52.753 | INFO  | utility.ReusableFunctions :- Element is Displayed on the Webpage
TIME - 14:49:53.189 | INFO  | testLogic.TL_Login :- User has LOGGED IN to the application using Username -  standard_user and Password - secret_sauce
TIME - 14:51:42.732 | INFO  | utility.ExcelUtility :- Excel Workbook Opened.
TIME - 14:51:42.734 | INFO  | utility.ExcelUtility :- File Path of excel - C:\Users\The Unknown Guy\WebAutomationFramework\WebApplicationTestingFramework\testdata\\ExcelTestData.xlsx
TIME - 14:51:42.735 | INFO  | utility.ExcelUtility :- Excel Sheet name - Sheet1
TIME - 14:51:42.761 | INFO  | testSets.TS_LoginTest :- Inside the SetUp()/@BeforeMethod method
TIME - 14:51:42.762 | INFO  | base.BaseClass :- Data read from the projectConfiguration.properties file.
TIME - 14:51:44.903 | INFO  | base.BaseClass :- Chrome Browser is opened.
TIME - 14:51:45.849 | INFO  | testSets.TS_LoginTest :- Inside the @Test method
TIME - 14:51:47.800 | INFO  | base.BaseClass :- Driver navigated to the URL -> https://www.saucedemo.com/
TIME - 14:51:50.156 | INFO  | utility.ReusableFunctions :- Applying some Wait on the WebDriver. Wait = 2 seconds.
TIME - 14:51:50.220 | INFO  | utility.ReusableFunctions :- WaitUntilElementFound - 10 seconds wait period, Element found on the webpage
TIME - 14:51:50.342 | INFO  | utility.ReusableFunctions :- Input value - standard_user was provided to the element.
TIME - 14:51:50.453 | INFO  | utility.ReusableFunctions :- Input value - secret_sauce was provided to the element.
TIME - 14:51:50.543 | INFO  | utility.ReusableFunctions :- Clicked operation was performed on the element.
TIME - 14:51:54.543 | INFO  | utility.ReusableFunctions :- Applying some Wait on the WebDriver. Wait = 4 seconds.
TIME - 14:51:54.577 | INFO  | utility.ReusableFunctions :- Element is Displayed on the Webpage
TIME - 14:51:55.005 | INFO  | testLogic.TL_Login :- User has LOGGED IN to the application using Username -  standard_user and Password - secret_sauce
TIME - 14:52:05.751 | ERROR | utility.ReusableFunctions :- Element not visible/found on the Webpage. Exception message - Expected condition failed: waiting for visibility of all elements located by By.xpath: : //div[text()='Sauce Labs Backpack'] (tried for 10 second(s) with 500 milliseconds interval)
TIME - 14:55:11.487 | INFO  | utility.ExcelUtility :- Excel Workbook Opened.
TIME - 14:55:11.491 | INFO  | utility.ExcelUtility :- File Path of excel - C:\Users\The Unknown Guy\WebAutomationFramework\WebApplicationTestingFramework\testdata\\ExcelTestData.xlsx
TIME - 14:55:11.491 | INFO  | utility.ExcelUtility :- Excel Sheet name - Sheet1
TIME - 14:55:11.519 | INFO  | testSets.TS_LoginTest :- Inside the SetUp()/@BeforeMethod method
TIME - 14:55:11.520 | INFO  | base.BaseClass :- Data read from the projectConfiguration.properties file.
TIME - 14:55:13.434 | INFO  | base.BaseClass :- Chrome Browser is opened.
TIME - 14:55:14.479 | INFO  | testSets.TS_LoginTest :- Inside the @Test method
TIME - 14:55:15.858 | INFO  | base.BaseClass :- Driver navigated to the URL -> https://www.saucedemo.com/
TIME - 14:55:18.218 | INFO  | utility.ReusableFunctions :- Applying some Wait on the WebDriver. Wait = 2 seconds.
TIME - 14:55:18.289 | INFO  | utility.ReusableFunctions :- WaitUntilElementFound - 10 seconds wait period, Element found on the webpage
TIME - 14:55:18.418 | INFO  | utility.ReusableFunctions :- Input value - standard_user was provided to the element.
TIME - 14:55:18.535 | INFO  | utility.ReusableFunctions :- Input value - secret_sauce was provided to the element.
TIME - 14:55:18.627 | INFO  | utility.ReusableFunctions :- Clicked operation was performed on the element.
TIME - 14:55:22.628 | INFO  | utility.ReusableFunctions :- Applying some Wait on the WebDriver. Wait = 4 seconds.
